"Campaign name","Ad set name","Ad name",Age,Gender,"Campaign name","Result Type",Results,"Cost per result","Amount spent (INR)","Result rate",Frequency,"CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
"PATC Course","PATC Course","Ramnath Iyer",35-44,male,"PATC Course",,,,823.78,,1.6549210206561,5.13950073,302.41556535,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels",Indicators,45-54,male,"PATC Webinar",,,,796.4209821606,,1.2966417910448,1.47482014,286.48236768,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",18-24,male,"PATC Webinar",,,,793.67899449287,,2.2381813484888,1.06186519,91.60653214,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Female",45-54,male,"PATC Webinar",,,,776.32625209508,,1.7342271293375,3.09231469,353.03604006,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Template,18-24,male,"PATC Webinar",,,,762.6,,2.3628177966102,0.4856908,56.9827393,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests",Template,55-64,male,"PATC Webinar",,,,757.41,,3.2824519230769,2.19699744,277.33797144,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","New - Imbalance",45-54,male,"PATC Webinar",,,,745.85617484909,,1.4717741935484,1.43835616,255.43019687,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Testimonials - Reels",25-34,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",30,23.892666666667,716.78,2.3041474654378,3.9099099099099,1.45929339,550.52227343,2022-01-01,2022-03-31
"PATC Course","PATC Course","Video Ad",35-44,male,"PATC Course",,,,710.42,,1.7825520833333,3.65230095,518.93352812,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,25-34,male,"PATC Webinar - Conv - 19th Jan 22",,,,705.74506332295,,1.4499632082414,1.82694748,179.07766134,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Yatindra Dongre",35-44,male,"PATC Webinar",,,,704.5826974215,,1.3007662835249,2.76877761,207.53540425,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Template,45-54,male,"PATC Webinar – News",,,,698.8,,2.1526104417671,3.03171642,325.93283582,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Ajit Mahuli",35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,692.16442125768,,1.3317490494297,2.35546039,247.0251325,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","Webinar Feedback",25-34,male,"PATC Webinar – News",,,,685.39,,1.680083645054,0.2033196,5.2986015,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Indicators - Male",45-54,male,"PATC Webinar",,,,681.62,,1.9030172413793,1.73650434,257.31219328,2022-01-01,2022-03-31
"PATC Course","PATC Course",Vasudev,25-34,male,"PATC Course",,,,680.61,,1.5228174603175,1.3029316,221.6970684,2022-01-01,2022-03-31
"PATC Webinar – Remarketing – Copy","Website Visits","Last Few Seats Left",55-64,male,"PATC Webinar – Remarketing – Copy",,,,671.57062403145,,3.8021582733813,3.78429518,635.35536805,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Testimonial - 2",45-54,male,"PATC Webinar",,,,656.0795061346,,1.3287037037037,0.87108014,190.49927588,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Indicators,25-34,male,"PATC Webinar – News",,,,653.81,,1.8918417799753,3.95295655,213.59359686,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Video Ad #3",45-54,male,"PATC Webinar",,,,648.43,,1.5153562653563,2.75638427,262.8415079,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Landing Page - S",45-54,male,"PATC Webinar",,,,626.50503323019,,2.2566666666667,3.15115707,308.47121282,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Huge Losses",35-44,male,"PATC Webinar",,,,619.89294939431,,1.8190076869322,2.15136381,238.14558179,2022-01-01,2022-03-31
"PATC Course","PATC Course","Milind Madgaonkar",35-44,male,"PATC Course",,,,619.33,,1.625,5.49450549,680.58241758,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Sharks,45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,611.41815530724,,1.874531835206,1.24875125,305.40367398,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",25-34,female,"PATC Webinar",,,,604.43400305054,,2.0632352941176,2.13827512,215.40769888,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Reels","Ramnath Iyer - Reels",35-44,male,"PATC Webinar",,,,601.64892712704,,1.2266209476309,0.8386277,152.89680486,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","New Creative #3",25-34,male,"PATC Webinar – News",,,,584.74,,1.6100950987564,1.20399818,132.83507497,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","New - Imbalance",35-44,female,"PATC Webinar",,,,579.76465594945,,1.6392857142857,2.66884532,315.7759564,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Indicators,55-64,male,"PATC Webinar - Conv - 19th Jan 22",,,,564.0061137333,,2.4408783783784,3.59861592,390.31564964,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Shark,25-34,male,"PATC Webinar – News",,,,547.86,,1.681422625804,1.10261026,123.28082808,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1",Template,55-64,male,"PATC Webinar",,,,539.02,,2.4583333333333,1.64506481,268.70388833,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest",Vinaya,45-54,male,"PATC Webinar - Conv - 19th Jan 22",,,,532.70362943699,,1.5489220563847,2.67665953,285.17324916,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","New Creative #3",35-44,male,"PATC Webinar – News",,,,516.08,,1.9352750809061,2.13210702,215.75250836,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Simplest Way",35-44,male,"PATC Webinar",,,,512.12919316394,,1.4929577464789,1.07204117,219.60943103,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","New to Trading",25-34,male,"PATC Webinar – News",,,,510.97,,1.7120822622108,1.83933934,191.80555556,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – News + Interests","Simplest Way",45-54,male,"PATC Webinar",,,,501.43,,1.7891304347826,1.0328068,304.63547995,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Simplest Way",25-34,male,"PATC Webinar",,,,499.68018511018,,1.4220643543669,0.76403174,146.83519986,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels",Indicators,45-54,male,"PATC Webinar – News",,,,496.95,,1.9736540664376,3.48229832,288.4213581,2022-01-01,2022-03-31
"Webinar Purchase - Brand Awarness","Webinar Purchase","Testimonials - Reels",45-54,male,"Webinar Purchase - Brand Awarness","Estimated ad recall lift (people)",20,24.7885,495.77,3.1796502384738,4.0844155844156,3.02066773,788.18759936,2022-01-01,2022-03-31
"PATC Webinar","Detailed Targeting – Forex + 1","Indicators - Female",35-44,male,"PATC Webinar",,,,495.1,,1.5831485587583,1.68067227,173.35434174,2022-01-01,2022-03-31
"PATC Webinar – News","News Channels","New to Trading",35-44,male,"PATC Webinar – News",,,,487.56,,2.0729166666667,2.88944724,306.25628141,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","New - Imbalance",18-24,male,"PATC Webinar - Conv - 19th Jan 22",,,,486.66071651732,,2.039373088685,1.04967198,91.22037798,2022-01-01,2022-03-31
"PATC Webinar - Conv - 19th Jan 22","Lookalike + Interest","Yatindra Dongre",35-44,male,"PATC Webinar - Conv - 19th Jan 22",,,,484.07300298223,,1.280193236715,3.11320755,228.33632216,2022-01-01,2022-03-31
"PATC Course","PATC Course","Milind Madgaonkar",45-54,male,"PATC Course",,,,483.43,,1.8688524590164,6.7251462,706.76900585,2022-01-01,2022-03-31
